id,title,genre,date,key,title_imslp,notes,sources
287,Sinfonia,sinfonias,c. 1778–1780,D major,"Symphony No.23 in D major, MH 287",,
288,6 Marciae,marches,c. 1778–1780,C major,,,
289,Amor subditorium,sacred cantatas,1780-07-19,C major,,movements reworked into MH 290–293,
290,Eia corda exsultate,offertories,after 1780-07-19,C major,,uses material from MH 289,"A-LA 1383 (603002664), D-Mbs Mus.ms. 464 (456009483)"
291,O caeli luminaria,offertories,after 1780-07-19,F major,,uses material from MH 289,"A-KR D 19/198 (600176345), D-Mbs Mus.ms. 461 (456009480), A-LA 1386 (603002667)"
292,Qui nunc laeti,offertories,after 1780-07-19,D major,,uses material from MH 289,D-Mbs Mus.ms. 466  (456009485)
293,Unitis cordibus,offertories,after 1780-07-19,C major,,uses material from MH 289,"A-LA 1384 (603002665), D-Mbs Mus.ms. Mm 674 (456013352)"
294,Vesperae,vespers,1780-12-22,F major,"Vesperae pro festo sanctissimae Innocentium, MH 200/294/304/307","MH 200, 294, 304, and 307 have been collected as vesper",
295,Beschluss-Arie,arias,c. 1781,C major,,,
296,Lied der Recruten,songs,c. 1781,D major,,,
297,Liedchen für den Feldwebel,songs,c. 1781,B-flat major,,,
298,Morgenlied der Bauern,songs,c. 1781,D major,,,
299,Divertimento,divertimentos,c. 1781,A major,,,
300,Hier mahlt sie sich im Hain,arias,1781-04-17,E major,,also adapted as offertorium MH 301,
301,Dich grüßen wir,offertories,after 1781-04-17,E major,,derived from MH 300,A-Ssp Hay 1630.1
302,Sinfonia,sinfonias,1781-07-19,A major,,,
303,"Lerne, schwache Menschheit",arias,c. 1781-11-14,E-flat major,,,A-LA 1739 (1001011542)
304,"Confitebor, Beatus vir, De profundis",psalms,1781-11-20,A major,"Vesperae pro festo sanctissimae Innocentium, MH 200/294/304/307","MH 200, 294, 304, and 307 have been collected as vesper",
305,Tenebrae,responsories,1781-11-24,B-flat major,,,"A-Sca Hs. 569/7, D-Mbs Mus.ms. 4137 (455022554)"
306,Stella caeli,sacred songs,1781-11-27,F major,,,"A-Sca Hs. 569/8, D-Mbs Mus.ms. 4137 (455022554)"
307,Salvete flores,hymns,1781-11-29,D major,"Vesperae pro festo sanctissimae Innocentium, MH 200/294/304/307","MH 200, 294, 304, and 307 have been collected as vesper",
308,Quartetto,quartets,c. 1780–1782,B-flat major,,,
309,Quartetto,quartets,c. 1780–1782,E-flat major,,,
310,Quartetto,quartets,c. 1780–1782,A major,"String Quartet in A major, MH 310",,
311,Quartetto,quartets,c. 1780–1782,G minor,,,
312,Quartetto,quartets,c. 1780–1782,F major,,,
