id,title,genre,date,key,title_imslp,composer_imslp,notes
126,Coelestis urbs Jerusalem,hymns,1831,F major,,,
127,Exultet orbis gaudiis,hymns,?,F major,,,
128,Tantum ergo,hymns,?,F major,,,
129,Veni Sancte Spiritus,hymns,1818,G major,,,
130,Jesu nostra redemptio,hymns,?,G major,,,
131,Asperges me,hymns,1815,?,,,
132,De profundis,psalms,1803,B-flat major,"De profundis, HV 132",,
133,Laudate Dominum,psalms,1831,G major,,,
134,Miserere,psalms,?,G minor,,,
135,Litaniae,litanies,?,F major,,,
136,Tibi aeterno Deo,chorus,?,G major,,,
137,Die vier letzten Dinge,oratorios,1810,C minor,,,
138,Die Hirten bei der Krippe zu Bethlehem,oratorios,1794,D minor,,,
139,Dich Schöpfer sanfter Harmonie,sacred cantatas,ca. 1827,C minor,,,
140,Il sacrifizio,profane cantatas,?,D major,,,
141,Die Macht der Tonkunst,profane cantatas,?,B-flat major,,,
